Date,Energy,Food,Metals,Precious_Metals,Pauran_raw,Pauran
1984-04,39.134692,63.838936,33.412061,33.708681,46.756999,46.697023
1984-05,38.929681,66.126911,31.793429,33.186197,47.093349,46.964749
1984-06,38.343195,62.736650,31.250251,33.008747,45.439249,46.429866
1984-07,36.947089,56.750942,29.460638,29.788947,41.906880,44.813159
1984-08,37.172565,55.651684,29.126020,29.914587,41.424451,42.923527
1984-09,37.346494,55.340365,27.369359,29.088305,40.725083,41.352138
1984-10,36.775489,54.216155,27.392138,29.169070,40.176108,40.775214
1984-11,36.679573,52.588759,29.350899,29.428264,40.119514,40.340235
1984-12,35.909690,50.869270,28.534739,27.149673,38.805035,39.700219
1985-01,35.912505,51.378851,28.522436,25.521352,38.842908,39.255819
1985-02,37.331534,51.642032,28.970560,25.242608,39.338549,38.995497
1985-03,37.107612,52.887956,29.079901,26.075045,39.908180,39.363212
1985-04,36.921379,53.115859,30.000654,27.387871,40.369603,39.872110
1985-05,35.450027,50.799766,30.081416,26.515659,39.085902,39.787895
1985-06,35.303036,49.166171,28.587543,26.451946,37.948533,39.134679
1985-07,35.370768,47.132321,28.350552,26.332022,37.065450,38.033295
1985-08,35.902530,46.033868,28.037828,27.391920,36.744594,37.252859
1985-09,35.837128,45.057855,27.088759,26.860569,36.003252,36.604432
1985-10,36.568204,44.387335,26.772932,27.158768,35.816331,36.188059
1985-11,37.776392,45.408551,26.052916,26.834482,36.218022,36.012535
1985-12,34.273436,46.271323,27.353433,26.630347,36.232281,36.088878
1986-01,34.084774,46.122536,28.197090,28.464286,36.571525,36.340609
1986-02,25.350440,44.785840,27.994656,27.795629,34.162384,35.655396
1986-03,21.149155,45.396712,28.868297,28.082906,33.857295,34.863735
1986-04,19.637009,45.511742,28.624380,27.350215,33.454434,33.824704
1986-05,21.259235,43.919792,28.631494,27.356776,33.144889,33.485540
1986-06,18.619714,42.610679,29.057132,27.469980,32.232352,32.943892
1986-07,16.005578,40.653667,27.878488,27.741316,30.600261,31.992501
1986-08,20.426620,39.895904,27.734764,29.893925,31.353507,31.395373
1986-09,21.023785,39.651707,28.983668,33.053796,32.065920,31.339896
1986-10,20.533593,40.699774,28.327894,33.382909,32.223287,31.880905
1986-11,21.382395,41.231413,27.851928,31.520715,32.276694,32.188634
1986-12,22.732386,40.520553,28.042650,30.835950,32.251088,32.250356
1987-01,24.763610,42.477419,28.331290,32.156508,33.658727,32.728836
1987-02,23.582360,43.075877,29.908303,31.685417,34.087855,33.332557
1987-03,24.219544,43.241278,31.395603,32.379596,34.797061,34.181214
1987-04,24.167842,43.884070,32.071866,35.940570,35.602813,34.829243
1987-05,24.805802,46.402887,32.850613,38.416687,37.219168,35.873014
1987-06,24.912000,45.935057,33.865781,36.683445,37.184502,36.668828
1987-07,26.039840,44.337916,36.744370,36.929988,37.659444,37.354371
1987-08,25.097922,43.358495,39.158019,37.901266,37.900515,37.581487
1987-09,24.369175,45.942267,38.544761,37.590078,38.573178,38.044379
1987-10,24.860143,46.816079,42.154436,37.861988,40.130990,38.868228
1987-11,23.983856,48.945879,41.824392,37.070814,40.629522,39.777897
1987-12,23.413081,51.000627,46.014734,38.303984,42.717686,41.159399
1988-01,23.369172,53.399496,47.207766,37.614080,43.957371,42.434859
1988-02,22.044036,52.286522,47.367743,34.970844,43.030823,43.235293
1988-03,20.893058,52.433486,55.011049,35.210725,45.176393,44.054862
1988-04,22.713821,53.131708,55.509866,35.842972,46.032704,44.746640
1988-05,22.409862,54.408954,62.081429,35.913474,48.461330,46.556809
1988-06,21.661449,63.203474,69.651088,36.439021,54.152908,49.548981
1988-07,21.010408,64.002787,55.111520,35.529824,49.889635,50.834624
1988-08,21.141990,60.502411,56.497132,34.786159,48.857118,50.966553
1988-09,19.319072,61.794652,53.041623,33.298184,47.823981,48.856911
1988-10,18.612604,60.504758,54.919703,32.809662,47.681301,48.120800
1988-11,19.324863,59.546292,58.439182,33.774822,48.592726,48.032669
1988-12,21.801681,59.969612,62.339104,33.520022,50.401914,48.891981
1989-01,23.479802,58.746685,61.492629,32.367306,49.879154,49.624598
1989-02,23.016548,58.820767,58.015484,31.225840,48.658846,49.646638
1989-03,24.905819,61.446846,57.139831,31.475920,49.849444,49.462481
1989-04,26.073212,61.164257,55.920063,30.953452,49.551709,49.353333
1989-05,24.756498,61.437748,54.930404,29.743935,48.979913,49.460355
1989-06,23.906143,60.037142,49.052876,29.313928,46.443341,48.324988
1989-07,24.093153,59.199103,47.084250,29.745070,45.598054,47.007103
1989-08,23.324388,56.414995,49.282578,29.048737,44.920523,45.653973
1989-09,24.002366,56.875290,48.079356,28.773649,44.851761,45.123446
1989-10,25.368296,57.382644,48.821293,29.126530,45.585758,45.119347
1989-11,25.920008,56.851253,45.741775,31.233209,44.770356,45.069292
1989-12,27.108127,55.951709,43.273134,32.267678,44.011017,44.789044
1990-01,28.872600,56.551650,41.358420,31.991723,44.001878,44.261084
1990-02,27.116583,56.076261,40.591515,32.495352,43.280811,43.764569
1990-03,25.118904,55.868281,44.825494,30.748186,43.893560,43.725416
1990-04,23.235068,56.391158,44.470335,29.503814,43.494959,43.556443
1990-05,23.273460,56.064222,44.834773,29.208115,43.451624,43.613381
1990-06,22.211488,54.540676,44.281260,27.979778,42.340924,43.095836
1990-07,24.097653,54.439262,45.486181,28.582266,43.099316,42.963955
1990-08,34.120987,53.807182,49.597254,30.780999,46.304346,43.914862
1990-09,41.712536,53.477552,53.229381,30.182242,48.720566,46.041409
1990-10,44.110395,53.409114,49.273064,29.172899,47.884934,47.636615
1990-11,41.407682,52.603404,44.033921,29.027165,45.435791,47.347097
1990-12,36.110901,52.956336,42.070653,28.627253,43.888636,45.736453
1991-01,31.258814,53.959490,42.106617,29.005295,43.368073,44.230833
1991-02,26.324572,54.920568,41.975679,27.409044,42.566750,43.274486
1991-03,26.263482,55.828865,41.698561,27.597575,42.853568,42.929464
1991-04,26.109699,54.386164,40.961690,27.306904,41.995603,42.471974
1991-05,26.085428,53.105658,38.398727,27.267738,40.705741,41.851637
1991-06,24.732406,53.215644,37.577545,28.183405,40.324343,41.008562
